,x,y
0,5128456.549971448,293420.08366904466
1,5128463.486635698,293424.7720173195
2,5128463.6799145825,293424.5726276265
3,5128467.047054811,293426.61549264914
4,5128472.546448574,293430.3809950438
5,5128475.638932724,293432.57625377655
6,5128475.470151168,293432.5135749024
7,5128480.484685506,293435.4964850297
8,5128484.699755442,293438.1341491104
9,5128485.2218586365,293438.27252229996
10,5128484.877782848,293438.347999898
11,5128489.573978656,293440.7866289388
12,5128490.113887634,293440.59429639106
13,5128489.181955251,293440.8403507722
14,5128491.087515958,293441.42960054334
15,5128492.659794077,293442.42150352796
16,5128494.806127352,293444.1554491637
17,5128495.521766088,293444.4519280799
18,5128495.808003039,293444.6354129608
19,5128496.089984623,293444.80029537866
20,5128500.52708114,293447.6925337252
21,5128500.410454907,293447.74308847974
22,5128501.84406592,293448.64674371283
23,5128502.114164619,293448.742497316
24,5128502.146253996,293448.6240596692
25,5128502.140388101,293448.7497223319
26,5128503.580987044,293449.45801222173
27,5128503.727366852,293449.7402521265
28,5128504.481868621,293449.94240329316
29,5128504.505365772,293450.06872272113
30,5128508.7898564935,293452.8178349821
31,5128510.951922801,293453.78781006887
32,5128510.969097437,293453.99007577955
33,5128516.117410146,293457.1620457266
34,5128515.832144184,293457.168463801
35,5128520.4108910775,293459.89669231715
36,5128520.58108971,293460.0014548771
37,5128522.549948184,293461.0648653468
38,5128528.395646616,293464.7305366969
39,5128527.73486664,293464.9140968781
40,5128529.374491844,293465.2730306754
41,5128529.202664406,293465.5111901475
42,5128533.219465943,293467.7910577601
43,5128533.676982796,293468.1079849968
44,5128536.89112955,293469.8298389742
45,5128537.7864737995,293470.67412770353
46,5128542.607908651,293472.89603697025
47,5128467.330199523,293424.06362332654
48,5128472.632537183,293427.01384035015
49,5128472.998224604,293427.37430738617
50,5128480.309777009,293431.8987285532
51,5128480.8195953835,293432.07608941535
52,5128481.147968031,293432.1709645887
53,5128481.875230822,293432.74734719394
54,5128481.875230822,293432.74734719394
55,5128487.254889095,293436.0790078452
56,5128487.230954989,293436.2261291957
57,5128488.695334683,293437.47474103817
58,5128489.371695005,293437.46488318726
59,5128491.497719461,293439.08556478476
60,5128491.3936296,293439.09167642274
61,5128499.551802176,293444.019810515
62,5128500.434408305,293444.34535450465
63,5128500.594959294,293444.4299987525
64,5128504.279795399,293446.5941402111
65,5128508.6455025915,293449.2466345131
66,5128508.728459358,293449.1856145107
67,5128508.667594555,293449.24060352804
68,5128509.395925959,293450.17900614784
69,5128513.2540256595,293452.0804181728
70,5128513.532390219,293452.17392313934
71,5128521.339786887,293457.3258971801
72,5128521.2331262445,293457.09025867545
73,5128525.211736208,293459.42220004037
74,5128532.9187062755,293464.0624801708
75,5128532.746352191,293464.0494690497
76,5128532.748547143,293464.0458129116
77,5128540.227320116,293469.34993992717
78,5128540.021741254,293469.2577458006
79,5128540.461711882,293469.36759647634
80,5128541.800791921,293470.0087259284
81,5128541.800791921,293470.0087259284
82,5128468.02131279,293420.72977108136
83,5128469.13556891,293421.52425044554
84,5128469.049383469,293421.7020590498
85,5128472.333600276,293423.98377406254
86,5128475.838231977,293425.9850522264
87,5128475.881404391,293425.9828413269
88,5128477.475709268,293426.98149468616
89,5128483.162590871,293430.3044955052
90,5128484.173851124,293431.57268167415
91,5128484.128812953,293431.7153724199
92,5128485.380897685,293432.23976393236
93,5128485.735505936,293432.33012331993
94,5128486.241658567,293432.2876728379
95,5128494.961740012,293437.95453696157
96,5128494.476448523,293437.8893902147
97,5128497.027319529,293439.524469988
98,5128497.041166071,293439.7625181966
99,5128501.777479185,293442.2659167634
100,5128501.331939531,293442.4849006191
101,5128503.175148541,293443.0196708492
102,5128504.983060337,293444.62301041186
103,5128504.92968298,293444.6021472011
104,5128507.56640675,293445.5905003088
105,5128508.051847164,293446.3796468434
106,5128508.051847164,293446.3796468434
107,5128511.101633503,293447.8822879402
108,5128511.406168193,293448.43580317136
109,5128514.747544407,293450.44603484095
110,5128514.545969346,293450.54476404743
111,5128521.322716534,293454.1739597912
112,5128521.267776905,293454.17757597985
113,5128520.99380851,293454.2747595948
114,5128524.096531497,293456.3895470163
115,5128524.303214696,293456.6318249666
116,5128524.233292884,293456.7723781798
117,5128529.618690939,293459.71658304904
118,5128533.218120335,293461.8549132469
119,5128537.316896228,293464.3246335882
120,5128540.0683385935,293466.2616003064
121,5128474.574156327,293421.7297212543
122,5128474.994288136,293422.0228159407
123,5128476.742982584,293423.9388621173
124,5128479.769519204,293425.3586722786
125,5128480.083113665,293425.4856427482
126,5128481.497437325,293426.4726305472
127,5128481.499469642,293426.45500510716
128,5128481.497529458,293426.4774626852
129,5128484.7768921135,293428.8664948896
130,5128489.376705448,293431.46338623815
131,5128489.357216466,293431.51746922487
132,5128489.377000577,293431.42687778646
133,5128489.761308101,293431.7373841826
134,5128489.898445449,293431.6652191021
135,5128493.720825008,293434.08021072205
136,5128494.100271548,293434.4445530725
137,5128495.464445331,293435.16400324233
138,5128495.496118572,293435.1173016863
139,5128496.529502573,293436.08933635434
140,5128496.38872837,293436.0557166047
141,5128496.650946268,293436.1033317161
142,5128497.634593171,293436.5352968299
143,5128497.708285149,293436.60424748994
144,5128500.581813332,293438.71164457494
145,5128500.447349621,293438.65026340337
146,5128503.633034849,293440.1648198818
147,5128505.6745139025,293441.81870550354
148,5128508.349395608,293443.2610668154
149,5128513.89790109,293446.542379571
150,5128513.861544946,293446.5051220033
151,5128516.817691129,293449.1031974753
152,5128516.168908339,293448.33381652454
153,5128518.13693665,293449.34008137096
154,5128527.010100149,293455.0387146258
155,5128528.071712802,293455.5537568696
156,5128531.726603167,293457.6453712097
157,5128533.148909495,293458.60918787733
158,5128535.8450315865,293460.3435465169
159,5128537.973602362,293461.58098053874
160,5128537.184905044,293461.7142382977
161,5128542.425202487,293464.7623916185
162,5128542.555491221,293464.7047000306
163,5128545.692089737,293466.6981929206
164,5128545.46377889,293466.4953870575
165,5128545.479812384,293466.5170285588
166,5128546.077438026,293467.32559463615
167,5128546.671612621,293467.6739028569
168,5128584.064758747,293424.8911451881
169,5128584.039610825,293424.94915980706
170,5128582.9843373075,293424.52199010085
